"year","treatment","BA","DM","DO","DS","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO"
1981,"control",0,168,42,143,0,13,19,0,0,0,1,14,0,8,0
1981,"exclosure",0,0,0,0,0,36,65,0,0,0,29,0,0,44,0
1982,"control",0,238,56,178,0,33,34,0,0,0,11,16,0,32,0
1982,"exclosure",0,0,0,0,0,51,161,0,0,0,69,11,4,136,0
1983,"control",0,253,94,160,0,12,39,0,0,0,6,18,0,27,0
1983,"exclosure",0,21,0,0,0,17,117,0,0,0,44,18,0,72,0
1984,"control",0,162,49,39,0,9,1,1,0,0,4,12,0,10,0
1984,"exclosure",0,10,0,0,0,10,19,20,0,0,9,26,0,60,0
1985,"control",0,251,101,55,0,20,0,0,0,0,4,8,0,7,0
1985,"exclosure",0,85,0,0,0,17,2,9,0,0,17,60,0,63,0
1986,"control",0,201,57,54,0,11,0,0,0,0,10,8,0,7,0
1986,"exclosure",0,2,0,0,0,6,6,3,0,0,54,75,0,38,0
1987,"control",0,247,98,62,0,51,2,0,0,0,25,14,0,32,0
1987,"exclosure",0,2,0,0,0,50,0,0,0,0,97,58,0,160,0
1988,"control",0,259,101,44,0,45,1,1,0,0,1,9,2,32,0
1988,"exclosure",0,28,12,0,0,91,0,0,0,0,38,54,9,86,0
1989,"control",0,245,76,33,0,46,2,2,0,0,2,8,9,76,0
1989,"exclosure",3,8,0,0,0,65,11,0,0,0,24,35,23,176,0
1990,"control",0,356,128,17,0,6,0,7,0,0,0,1,0,22,0
1990,"exclosure",12,4,0,0,0,58,63,0,0,0,0,39,4,133,0
1991,"control",1,309,72,12,0,10,9,0,0,0,0,20,0,39,0
1991,"exclosure",32,16,0,0,0,32,61,0,0,0,0,66,0,128,0
1992,"control",0,244,56,19,0,17,12,0,0,0,0,38,0,25,0
1992,"exclosure",8,5,5,0,0,11,55,11,1,0,0,100,0,71,0
1993,"control",0,201,22,20,0,4,20,0,0,0,0,21,0,11,0
1993,"exclosure",0,6,8,0,0,1,68,0,0,0,0,76,0,70,0
1994,"control",0,232,25,9,0,0,9,0,0,0,0,10,0,2,0
1994,"exclosure",0,21,0,0,0,0,83,0,0,0,0,63,0,30,0
1995,"control",0,355,30,0,0,0,52,0,1,0,2,97,0,9,0
1995,"exclosure",0,24,5,0,1,1,119,0,0,0,3,165,0,39,0
1996,"control",0,382,77,0,18,21,94,0,0,0,14,78,0,20,0
1996,"exclosure",0,35,48,0,14,13,207,0,0,0,17,181,0,39,0
1997,"control",0,486,115,6,62,8,52,0,0,1,45,108,0,32,0
1997,"exclosure",0,9,57,0,175,19,124,2,0,4,98,161,1,54,0
1998,"control",0,460,70,8,63,2,2,0,0,0,5,88,0,0,0
1998,"exclosure",0,16,4,0,264,5,22,0,0,2,37,84,0,12,0
1999,"control",0,238,64,8,56,1,0,0,0,0,8,76,0,5,0
1999,"exclosure",0,30,1,0,215,0,0,0,0,0,18,62,0,20,0
2000,"control",0,178,66,0,222,1,0,0,0,0,0,173,0,2,0
2000,"exclosure",0,0,1,0,317,5,0,0,0,0,0,140,0,3,0
2001,"control",0,278,69,0,174,12,17,0,0,0,2,167,0,3,0
2001,"exclosure",0,2,3,0,434,14,14,0,2,0,2,110,0,14,0
2002,"control",0,231,162,0,248,22,9,0,4,0,0,172,0,1,2
2002,"exclosure",0,25,46,0,633,19,7,0,1,0,1,117,0,8,1
2003,"control",0,245,169,1,311,37,20,0,12,0,0,231,0,6,0
2003,"exclosure",0,36,19,0,740,31,30,0,4,0,0,146,0,11,2
2004,"control",0,154,89,0,169,10,0,0,5,0,0,176,0,0,0
2004,"exclosure",0,21,1,0,267,4,11,0,10,0,2,132,0,1,0
2005,"control",0,134,131,0,198,9,5,0,29,0,1,301,0,4,0
2005,"exclosure",0,1,10,0,403,11,3,0,23,0,2,186,0,0,2
2006,"control",0,182,98,0,173,16,7,0,2,0,4,426,0,3,1
2006,"exclosure",0,10,0,0,547,10,4,0,5,0,0,361,1,6,4
2007,"control",25,222,213,0,593,39,21,0,0,11,24,508,0,37,0
2007,"exclosure",31,6,7,0,1038,46,32,0,0,10,19,328,0,74,1
2008,"control",15,307,313,29,217,11,26,0,0,8,21,181,0,28,0
2008,"exclosure",16,18,20,0,379,18,37,0,0,12,27,174,0,73,0
2009,"control",8,160,159,17,68,5,5,0,0,0,0,122,0,4,0
2009,"exclosure",2,21,2,0,252,1,20,0,0,1,1,93,0,8,0
2011,"control",0,181,23,0,5,9,4,0,0,0,0,336,0,0,0
2011,"exclosure",0,0,0,0,14,2,1,0,0,0,0,499,0,0,0
2012,"control",0,416,22,0,45,36,22,0,0,0,0,551,0,5,2
2012,"exclosure",0,10,3,0,107,33,24,0,0,0,0,634,0,2,0
2013,"control",2,348,29,0,32,19,3,0,0,0,0,222,0,1,1
2013,"exclosure",0,19,4,0,79,26,23,0,0,0,0,256,0,2,0
2014,"control",12,433,113,0,48,39,0,1,0,0,0,500,0,17,2
2014,"exclosure",9,20,1,0,188,66,9,0,0,0,0,514,0,15,10
2015,"control",70,377,134,0,35,68,16,0,0,0,6,499,0,87,9
2015,"exclosure",76,25,11,0,115,66,45,0,0,0,17,508,0,112,20
2016,"control",3,405,125,6,3,23,0,0,0,0,0,193,0,22,1
2016,"exclosure",15,9,14,0,47,22,22,0,0,6,12,273,0,43,4
2017,"control",0,377,95,4,0,21,0,0,0,3,3,293,2,9,3
2017,"exclosure",0,11,2,0,48,23,3,7,0,13,6,445,1,12,8
