"","eigenvalues","propVar","cumVar"
"1",2.05087066457434,0.196085627752799,0.196085627752799
"2",1.59548745741854,0.152546021094199,0.348631648846998
"3",1.1032453999808,0.105482305909097,0.454113954756095
"4",0.894284264591012,0.0855033398452625,0.539617294601357
"5",0.720332180629421,0.0688716213406752,0.608488915942033
"6",0.61033519971808,0.0583547089748778,0.666843624916911
"7",0.540383010718253,0.051666515940745,0.718510140857655
"8",0.454548983537895,0.0434598457723438,0.761969986629999
"9",0.367580776503796,0.0351447356264994,0.797114722256499
"10",0.336113692691762,0.0321361388439649,0.829250861100464
"11",0.294895304122852,0.0281952108580595,0.857446071958523
"12",0.286668772997679,0.0274086646619627,0.884854736620486
"13",0.276746693353206,0.0264600055147495,0.911314742135235
"14",0.218034242993009,0.0208464542144905,0.932161196349726
"15",0.179886628983479,0.0171991258043965,0.949360322154122
"16",0.153266602861848,0.0146539606591633,0.964014282813286
"17",0.149147047010282,0.0142600861408085,0.978274368954094
"18",0.110652684375696,0.0105796047762203,0.988853973730314
"19",0.091037203213216,0.00870415060748243,0.997558124337797
"20",0.0801481026352902,0.00766303370071293,1.00522115803851
"21",0.0563065278465509,0.00538351883913799,1.01060467687765
"22",0.0311685462556441,0.0029800533325921,1.01358473021024
"23",0.0264071914916359,0.00252481583079278,1.01610954604103
"24",0.00663027982216745,0.000633927143024527,1.01674347318406
"25",0.000913571420659218,8.73474025502041e-05,1.01683082058661
"26",3.05311331771918e-16,2.91910968276321e-17,1.01683082058661
"27",-0.0054001474063152,-0.000516313052995344,1.01631450753361
"28",-0.0182555964043343,-0.00174543433809787,1.01456907319551
"29",-0.0362237872220029,-0.00346338956410228,1.01110568363141
"30",-0.045245881714357,-0.00432600030437804,1.00677968332703
"31",-0.0709090911448454,-0.00677968332703385,1
